"tropeid";"tropename";"tropefreq";"tropelink";"tropefreq2000"
"tr03025";"Character Name and the Noun Phrase";10;"CharacterNameAndTheNounPhrase";5
"tr03026";"Character Narrator";5;"CharacterNarrator";4
"tr03027";"Character Outlives Actor";9;"CharacterOutlivesActor";6
"tr03028";"Character Overlap";3;"CharacterOverlap";1
"tr03029";"Character Rerailment";4;"CharacterRerailment";3
"tr03030";"Characters as Device";3;"CharactersAsDevice";1
"tr03031";"Characters Dropping Like Flies";14;"CharactersDroppingLikeFlies";1
"tr03032";"Character Sheets";2;"CharacterSheet";1
"tr03033";"Character Shilling";9;"CharacterShilling";5
"tr03034";"Character Signature Song";5;"CharacterSignatureSong";1
"tr03035";"Character Tics";68;"CharacterTics";36
"tr03036";"Character Title";84;"CharacterTitle";34
"tr03037";"Character Witness";8;"CharacterWitness";4
"tr03038";"Charged Attack";1;"ChargedAttack";1
"tr03039";"Charge-into-Combat Cut";3;"ChargeIntoCombatCut";2
"tr03040";"Charge Meter";1;"ChargeMeter";1
"tr03041";"Chariot Race";3;"ChariotRace";1
"tr03042";"Charity Ball";6;"CharityBall";1
"tr03043";"Charity Motivation Song";2;"CharityMotivationSong";2
"tr03044";"Charles Atlas Superpower";34;"CharlesAtlasSuperpower";19
"tr03045";"Charlie Brown Baldness";3;"CharlieBrownBaldness";3
"tr03046";"Charlie Chaplin Shout-Out";4;"CharlieChaplinShoutOut";2
"tr03047";"Charm Person";14;"CharmPerson";7
"tr03048";"Chased by Angry Natives";15;"ChasedByAngryNatives";5
"tr03049";"Chased Off into the Sunset";5;"ChasedOffIntoTheSunset";1
"tr03050";"Chase Fight";9;"ChaseFight";1
"tr03051";"Chase Scene";203;"ChaseScene";69
"tr03052";"Chasing a Butterfly";5;"ChasingAButterfly";3
"tr03053";"Chaste Hero";15;"ChasteHero";5
"tr03054";"Chaste Toons";1;"ChasteToons";1
"tr03055";"Chastity Couple";1;"ChastityCouple";0
"tr03056";"Chastity Dagger";3;"ChastityDagger";1
"tr03057";"Chatty Hairdresser";5;"ChattyHairdresser";3
"tr03058";"Cheap Costume";12;"CheapCostume";10
"tr03059";"Cheap Heat";1;"CheapHeat";0
"tr03060";"Cheated Angle";4;"CheatedAngle";3
"tr03061";"Cheaters Never Prosper";34;"CheatersNeverProsper";18
"tr03062";"Cheating with the Milkman";6;"CheatingWithTheMilkman";2
"tr03063";"Check and Mate";2;"CheckAndMate";0
"tr03064";"Check, Please!";15;"CheckPlease";2
"tr03065";"Checkpoint Charlie";12;"CheckpointCharlie";7
"tr03066";"Cheek Copy";7;"CheekCopy";5
"tr03067";"Cheeky Mouth";1;"CheekyMouth";1
"tr03068";"Cheerful Child";44;"CheerfulChild";28
"tr03069";"Cheese-Eating Surrender Monkeys";31;"CheeseEatingSurrenderMonkeys";13
"tr03070";"Cheesy Moon";1;"CheesyMoon";1
"tr03071";"Chef of Iron";4;"ChefOfIron";2
"tr03072";"Chekhov M.I.A.";13;"ChekhovMIA";9
"tr03073";"Chekhov's Armoury";59;"ChekhovsArmoury";36
"tr03074";"Chekhov's Army";11;"ChekhovsArmy";6
"tr03075";"Chekhov's Boomerang";84;"ChekhovsBoomerang";52
"tr03076";"Chekhov's Classroom";58;"ChekhovsClassroom";32
"tr03077";"Chekhov's Exhibit";6;"ChekhovsExhibit";1
"tr03078";"Chekhov's Gag";97;"ChekhovsGag";64
"tr03079";"Chekhov's Gift";12;"ChekhovsGift";7
"tr03080";"Chekhov's Gun";1460;"ChekhovsGun";812
"tr03081";"Chekhov's Gunman";415;"ChekhovsGunman";245
"tr03082";"Chekhov's Hobby";41;"ChekhovsHobby";26
"tr03083";"Chekhov's News";3;"ChekhovsNews";2
"tr03084";"Chekhov's Skill";549;"ChekhovsSkill";326
"tr03085";"Chekhov's Time Travel";2;"ChekhovsTimeTravel";1
"tr03086";"Chekhov's Volcano";15;"ChekhovsVolcano";7
"tr03087";"Chekov's Gun";2;"ChekovsGun";1
"tr03088";"Chemically-Induced Insanity";2;"ChemicallyInducedInsanity";0
"tr03089";"Chemical Messiah";3;"ChemicalMessiah";2
"tr03090";"Chemistry Can Do Anything";2;"ChemistryCanDoAnything";1
"tr03091";"Cherry Blossoms";7;"CherryBlossoms";6
"tr03092";"Cherry Tapping";13;"CherryTapping";7
"tr03093";"Cherubic Choir";17;"CherubicChoir";4
"tr03094";"Cheshire Cat Grin";28;"CheshireCatGrin";7
"tr03095";"Chessmaster Sidekick";2;"ChessmasterSidekick";2
"tr03096";"Chess Motifs";35;"ChessMotifs";18
"tr03097";"Chess with Death";6;"ChessWithDeath";4
"tr03098";"Chest Blaster";6;"ChestBlaster";6
"tr03099";"Chest Burster";17;"ChestBurster";9
"tr03100";"Chest Insignia";4;"ChestInsignia";4
"tr03101";"Chest Monster";3;"ChestMonster";2
"tr03102";"Chest of Medals";7;"ChestOfMedals";2
"tr03103";"Chewbacca Defense";11;"ChewbaccaDefense";7
"tr03104";"Chew Bubblegum";4;"ChewBubblegum";3
"tr03105";"Chewing the Scenery";222;"ChewingTheScenery";99
"tr03106";"Chew-Out Fake-Out";15;"ChewOutFakeOut";11
"tr03107";"Chez Restaurant";2;"ChezRestaurant";0
"tr03108";"Chiaroscuro";70;"Chiaroscuro";14
"tr03109";"Chicken Joke";1;"ChickenJoke";1
"tr03110";"Chicken Walker";2;"ChickenWalker";1
"tr03111";"Chick Flick";38;"ChickFlick";16
"tr03112";"Chickification";21;"Chickification";9
"tr03113";"Chick Lit";1;"ChickLit";1
"tr03114";"Chick Magnet";67;"ChickMagnet";34
"tr03115";"Child by Rape";41;"ChildByRape";17
"tr03116";"Child Eater";6;"ChildEater";5
"tr03117";"Child Hater";50;"ChildHater";15
"tr03118";"Childhood Brain Damage";10;"ChildhoodBrainDamage";1
"tr03119";"Childhood Friend Romance";114;"ChildhoodFriendRomance";66
"tr03120";"Childhood Friends";26;"ChildhoodFriends";22
"tr03121";"Childhood Marriage Promise";19;"ChildhoodMarriagePromise";5
"tr03122";"Childhood Memory Demolition Team";2;"ChildhoodMemoryDemolitionTeam";0
"tr03123";"Childish Pillow Fight";1;"ChildishPillowFight";0
"tr03124";"Childless Dystopia";4;"ChildlessDystopia";1
"tr03125";"Child Marriage Veto";9;"ChildMarriageVeto";2
"tr03126";"Child of Two Worlds";8;"ChildOfTwoWorlds";5
"tr03127";"Child Popstar";1;"ChildPopstar";1
"tr03128";"Child Prodigy";47;"ChildProdigy";30
"tr03129";"Children Are a Waste";5;"ChildrenAreAWaste";2
"tr03130";"Children Are Innocent";124;"ChildrenAreInnocent";62
"tr03131";"Children Are Special";5;"ChildrenAreSpecial";1
"tr03132";"Children Forced to Kill";7;"ChildrenForcedToKill";5
"tr03133";"Children in Tow";3;"ChildrenInTow";1
"tr03134";"Children Raise You";20;"ChildrenRaiseYou";14
"tr03135";"Child Soldiers";58;"ChildSoldiers";34
"tr03136";"Chilly Reception";1;"ChillyReception";1
"tr03137";"Chimney Entry";10;"ChimneyEntry";4
"tr03138";"China Takes Over the World";10;"ChinaTakesOverTheWorld";4
"tr03139";"Chinese Laborer";9;"ChineseLaborer";1
"tr03140";"Chinese Launderer";6;"ChineseLaunderer";1
"tr03141";"Chinese Vampire";1;"ChineseVampire";0
"tr03142";"Chippendales Dancers";4;"ChippendalesDancers";2
"tr03143";"Chiptune";1;"Chiptune";1
"tr03144";"Chirping Crickets";13;"ChirpingCrickets";8
"tr03145";"Chivalrous Pervert";59;"ChivalrousPervert";32
"tr03146";"Chocolate Baby";10;"ChocolateBaby";6
"tr03147";"Chocolate-Frosted Sugar Bombs";1;"ChocolateFrostedSugarBombs";0
"tr03148";"Chocolate of Romance";3;"ChocolateOfRomance";2
"tr03149";"Choke Holds";13;"ChokeHolds";6
"tr03150";"Chokepoint Geography";3;"ChokepointGeography";0
"tr03151";"Choose Your Own Adventure";8;"ChooseYourOwnAdventure";2
"tr03152";"Choosing Death";1;"ChoosingDeath";1
"tr03153";"Chop Sockey";1;"ChopSockey";1
"tr03154";"Choreography Porn";7;"ChoreographyPorn";5
"tr03155";"Chorus Girls";14;"ChorusGirls";3
"tr03156";"Chorus-Only Song";1;"ChorusOnlySong";0
"tr03157";"Chosen Conception Partner";5;"ChosenConceptionPartner";1
"tr03158";"Christianity Is Catholic";62;"ChristianityIsCatholic";34
"tr03159";"Christian Rock";1;"ChristianRock";0
"tr03160";"Christmas Cake";11;"ChristmasCake";5
"tr03161";"Christmas Carolers";8;"ChristmasCarolers";4
"tr03162";"Christmas Creep";3;"ChristmasCreep";2
"tr03163";"Christmas Elves";7;"ChristmasElves";6
"tr03164";"Christmas Episode";10;"ChristmasEpisode";3
"tr03165";"Christmas in July";2;"ChristmasInJuly";1
"tr03166";"Christmas Miracle";4;"ChristmasMiracle";1
"tr03167";"Christmas Rushed";3;"ChristmasRushed";1
"tr03168";"Christmas Songs";6;"ChristmasSongs";2
"tr03169";"Christmas Special";14;"ChristmasSpecial";9
"tr03170";"Chroma Key";18;"ChromaKey";7
"tr03171";"Chromatic Arrangement";13;"ChromaticArrangement";9
"tr03172";"Chrome Champion";5;"ChromeChampion";3
"tr03173";"Chromosome Casting";54;"ChromosomeCasting";14
"tr03174";"Chronically Crashed Car";17;"ChronicallyCrashedCar";6
"tr03175";"Chronically Killed Actor";11;"ChronicallyKilledActor";6
"tr03176";"Chronic Backstabbing Disorder";83;"ChronicBackstabbingDisorder";43
"tr03177";"Chronic Evidence Retention Syndrome";4;"ChronicEvidenceRetentionSyndrome";2
"tr03178";"Chronic Hero Syndrome";19;"ChronicHeroSyndrome";11
"tr03179";"Chronic Pet Killer";3;"ChronicPetKiller";1
"tr03180";"Chronic Villainy";10;"ChronicVillainy";2
"tr03181";"Chronoscope";4;"Chronoscope";3
"tr03182";"Chubby Chaser";11;"ChubbyChaser";6
"tr03183";"Chubby Mama, Skinny Papa";2;"ChubbyMamaSkinnyPapa";0
"tr03184";"Chuck Cunningham Syndrome";107;"ChuckCunninghamSyndrome";47
"tr03185";"Chummy Commies";20;"ChummyCommies";5
"tr03186";"Chunky Salsa Rule";9;"ChunkySalsaRule";6
"tr03187";"Chunky Updraft";3;"ChunkyUpdraft";3
"tr03188";"Churchgoing Villain";10;"ChurchgoingVillain";4
"tr03189";"Church Militant";18;"ChurchMilitant";10
"tr03190";"Church of Happyology";7;"ChurchOfHappyology";4
"tr03191";"Church of Saint Genericus";14;"ChurchOfSaintGenericus";7
"tr03192";"Chute Sabotage";1;"ChuteSabotage";0
"tr03193";"CIA Evil, FBI Good";43;"CIAEvilFBIGood";25
"tr03194";"Cigar Chomper";37;"CigarChomper";8
"tr03195";"Cigarette Burns";7;"CigaretteBurns";3
"tr03196";"Cigarette of Anxiety";47;"CigaretteOfAnxiety";13
"tr03197";"Cigar-Fuse Lighting";11;"CigarFuseLighting";4
"tr03198";"Cincinnatus";5;"Cincinnatus";3
"tr03199";"Cinderella Circumstances";5;"CinderellaCircumstances";3
"tr03200";"Circle of Shame";8;"CircleOfShame";5
"tr03201";"Circle of Standing Stones";5;"CircleOfStandingStones";3
"tr03202";"Circling Birdies";7;"CirclingBirdies";4
"tr03203";"Circling Monologue";14;"CirclingMonologue";13
"tr03204";"Circling Vultures";20;"CirclingVultures";3
"tr03205";"Circuit Judge";2;"CircuitJudge";0
"tr03206";"Circular Definition";3;"CircularDefinition";3
"tr03207";"Circular Drive";2;"CircularDrive";0
"tr03208";"Circumcision Angst";1;"CircumcisionAngst";1
"tr03209";"Circus Brat";6;"CircusBrat";4
"tr03210";"Circus Episode";3;"CircusEpisode";1
"tr03211";"Circus of Fear";17;"CircusOfFear";4
"tr03212";"Citadel City";2;"CitadelCity";1
"tr03213";"Citizenship Marriage";22;"CitizenshipMarriage";12
"tr03214";"City Guards";1;"CityGuards";1
"tr03215";"City in a Bottle";11;"CityInABottle";7
"tr03216";"City Mouse";28;"CityMouse";7
"tr03217";"City Noir";22;"CityNoir";7
"tr03218";"City of Adventure";10;"CityOfAdventure";7
"tr03219";"City of Angels";1;"CityOfAngels";0
"tr03220";"City of Canals";11;"CityOfCanals";5
"tr03221";"City of Everywhere";1;"CityOfEverywhere";0
"tr03222";"City of Gold";10;"CityofGold";5
"tr03223";"City of Spies";5;"CityOfSpies";2
"tr03224";"City of Weirdos";9;"CityOfWeirdos";3
"tr03225";"City on the Water";2;"CityOnTheWater";1
"tr03226";"City People Eat Sushi";2;"CityPeopleEatSushi";2
"tr03227";"City Planet";3;"CityPlanet";2
"tr03228";"City Slicker";8;"CitySlicker";1
"tr03229";"City with No Name";14;"CityWithNoName";3
"tr03230";"Civilization Destroyer";6;"CivilizationDestroyer";2
"tr03231";"Civilized Animal";4;"CivilizedAnimal";3
"tr03232";"Civil War";9;"CivilWar";2
"tr03233";"Civvie Spandex";10;"CivvieSpandex";9
"tr03234";"Claimed by the Supernatural";2;"ClaimedByTheSupernatural";2
"tr03235";"Clam Trap";1;"ClamTrap";0
"tr03236";"Clapper Gag";2;"ClapperGag";2
"tr03237";"Clap Your Hands If You Believe";38;"ClapYourHandsIfYouBelieve";16
"tr03238";"Clarke's Third Law";17;"ClarkesThirdLaw";15
"tr03239";"Clark Kenting";37;"ClarkKenting";21
"tr03240";"Clark Kent Outfit";3;"ClarkKentOutfit";2
"tr03241";"Clashing Cousins";1;"ClashingCousins";1
"tr03242";"Clash of Evolutionary Levels";4;"ClashOfEvolutionaryLevels";2
"tr03243";"Class Clown";6;"ClassClown";3
"tr03244";"Classical Anti-Hero";28;"ClassicalAntihero";8
"tr03245";"Classically Trained Extra";15;"ClassicallyTrainedExtra";7
"tr03246";"Classical Movie Vampire";7;"ClassicalMovieVampire";0
"tr03247";"Classical Music";4;"ClassicalMusic";0
"tr03248";"Classical Music Is Boring";1;"ClassicalMusicIsBoring";1
"tr03249";"Classic Cheat Code";1;"ClassicCheatCode";1
"tr03250";"Classic Villain";7;"ClassicVillain";3
"tr03251";"Classified Information";5;"ClassifiedInformation";3
"tr03252";"Class Representative";2;"ClassRepresentative";2
"tr03253";"Class Reunion";2;"ClassReunion";1
"tr03254";"Class Trip";3;"ClassTrip";0
"tr03255";"Classy Cane";3;"ClassyCane";1
"tr03256";"Classy Cat-Burglar";12;"ClassyCatBurglar";7
"tr03257";"Classy Cravat";1;"ClassyCravat";0
"tr03258";"Claustrophobia";10;"Claustrophobia";7
"tr03259";"Clean Cut";20;"CleanCut";14
"tr03260";"Clean Dub Name";1;"CleanDubName";0
"tr03261";"Cleaning Up Romantic Loose Ends";24;"CleaningUpRomanticLooseEnds";7
"tr03262";"Clean, Pretty Childbirth";13;"CleanPrettyChildbirth";10
"tr03263";"Cleanup Crew";19;"CleanupCrew";11
"tr03264";"Clean Up the Town";5;"CleanUpTheTown";1
"tr03265";"Clear My Name";107;"ClearMyName";31
"tr03266";"Clear Their Name";23;"ClearTheirName";8
"tr03267";"Cleavage Window";9;"CleavageWindow";8
"tr03268";"Clever Crows";5;"CleverCrows";1
"tr03269";"Cliché";1;"Cliche";1
"tr03270";"Cliché Storm";28;"ClicheStorm";19
"tr03271";"Clickbait Gag";1;"ClickbaitGag";1
"tr03272";"*Click* Hello";55;"ClickHello";19
"tr03273";"Cliffhanger";34;"Cliffhanger";24
"tr03274";"Cliffhanger Copout";3;"CliffhangerCopout";1
"tr03275";"Cliff Stack";2;"CliffStack";2
"tr03276";"Clifftop Caterwauling";4;"ClifftopCaterwauling";1
"tr03277";"Climactic Battle Resurrection";1;"ClimacticBattleResurrection";0
"tr03278";"Climactic Elevator Ride";5;"ClimacticElevatorRide";2
"tr03279";"Climactic Music";5;"ClimacticMusic";2
"tr03280";"Climactic Volcano Backdrop";4;"ClimacticVolcanoBackdrop";3
"tr03281";"Climbing Climax";43;"ClimbingClimax";12
"tr03282";"Climbing the Cliffs of Insanity";8;"ClimbingTheCliffsOfInsanity";3
"tr03283";"Climb, Slip, Hang, Climb";9;"ClimbSlipHangClimb";5
"tr03284";"Clingy Aquatic Life";3;"ClingyAquaticLife";3
"tr03285";"Clingy Costume";7;"ClingyCostume";4
"tr03286";"Clingy Jealous Girl";66;"ClingyJealousGirl";33
"tr03287";"Clingy MacGuffin";15;"ClingyMacGuffin";8
"tr03288";"Clint Squint";11;"ClintSquint";4
"tr03289";"Clip-Art Animation";2;"ClipArtAnimation";0
"tr03290";"Clipboard of Authority";4;"ClipboardOfAuthority";2
"tr03291";"Clip Its Wings";2;"ClipItsWings";1
"tr03292";"Clipped-Wing Angel";10;"ClippedWingAngel";3
"tr03293";"Clip Show";5;"ClipShow";3
"tr03294";"Clique Tour";16;"CliqueTour";8
"tr03295";"C-List Fodder";2;"CListFodder";2
"tr03296";"Cloak & Dagger";9;"CloakAndDagger";5
"tr03297";"Clock Discrepancy";8;"ClockDiscrepancy";2
"tr03298";"Clock King";13;"ClockKing";7
"tr03299";"Clock Punk";11;"ClockPunk";8
"tr03300";"Clock Tampering";2;"ClockTampering";0
"tr03301";"Clock Tower";9;"ClockTower";1
"tr03302";"Clockwork Creature";7;"ClockworkCreature";5
"tr03303";"Clockworks Area";1;"ClockworksArea";0
"tr03304";"Clone Army";10;"CloneArmy";5
"tr03305";"Clone by Conversion";2;"CloneByConversion";1
"tr03306";"Clone Degeneration";8;"CloneDegeneration";3
"tr03307";"Clone Jesus";1;"CloneJesus";0
"tr03308";"Clones Are People, Too";8;"ClonesArePeopleToo";7
"tr03309";"Cloning Blues";25;"CloningBlues";17
"tr03310";"Cloning Body Parts";2;"CloningBodyParts";2
"tr03311";"Cloning Gambit";3;"CloningGambit";1
"tr03312";"Close-Call Haircut";9;"CloseCallHaircut";4
"tr03313";"Closed Circle";77;"ClosedCircle";26
"tr03314";"Closed Door Rapport";7;"ClosedDoorRapport";4
"tr03315";"Close-Enough Timeline";5;"CloseEnoughTimeline";4
"tr03316";"Close-Knit Community";13;"CloseKnitCommunity";7
"tr03317";"Close on Title";46;"CloseOnTitle";40
"tr03318";"Closer Than They Appear";7;"CloserThanTheyAppear";2
"tr03319";"Closer to Earth";19;"CloserToEarth";8
"tr03320";"Closest Thing We Got";26;"ClosestThingWeGot";11
"tr03321";"Closet Geek";3;"ClosetGeek";2
"tr03322";"Closet Key";16;"ClosetKey";9
"tr03323";"Close to Home";1;"CloseToHome";0
"tr03324";"Closet Shuffle";23;"ClosetShuffle";5
"tr03325";"Closet Sublet";2;"ClosetSublet";1
"tr03326";"Close-Up on Head";6;"CloseupOnHead";2
"tr03327";"Closing Credits";5;"ClosingCredits";1
"tr03328";"Clothesline Stealing";11;"ClotheslineStealing";8
"tr03329";"Clothes Make the Legend";5;"ClothesMakeTheLegend";1
"tr03330";"Clothes Make the Maniac";3;"ClothesMakeTheManiac";0
"tr03331";"Clothes Make the Superman";8;"ClothesMakeTheSuperman";5
"tr03332";"Cloth Fu";3;"ClothFu";3
"tr03333";"Clothing Combat";9;"ClothingCombat";5
"tr03334";"Clothing Damage";79;"ClothingDamage";24
"tr03335";"Clothing Reflects Personality";5;"ClothingReflectsPersonality";5
"tr03336";"Clothing Switch";5;"ClothingSwitch";2
"tr03337";"Cloudcuckooland";17;"Cloudcuckooland";5
"tr03338";"Cloudcuckoolander";519;"Cloudcuckoolander";248
"tr03339";"Cloudcuckoolander's Minder";19;"CloudcuckoolandersMinder";9
"tr03340";"Cloudcuckoolanguage";2;"Cloudcuckoolanguage";1
"tr03341";"Clown Car";10;"ClownCar";6
"tr03342";"Clown Car Base";2;"ClownCarBase";0
"tr03343";"Clown-Car Grave";1;"ClownCarGrave";1
"tr03344";"Club Kid";3;"ClubKid";2
"tr03345";"Club Stub";4;"ClubStub";4
"tr03346";"Clucking Funny";19;"CluckingFunny";12
"tr03347";"Clueless Aesop";17;"CluelessAesop";8
"tr03348";"Clueless Boss";6;"CluelessBoss";1
"tr03349";"Clueless Chick Magnet";8;"CluelessChickMagnet";2
"tr03350";"Clueless Deputy";12;"CluelessDeputy";1
"tr03351";"Clueless Detective";6;"CluelessDetective";1
"tr03352";"Clueless Mystery";5;"CluelessMystery";3
"tr03353";"Clumsy Copyright Censorship";3;"ClumsyCopyrightCensorship";1
"tr03354";"Cluster Bleep-Bomb";8;"ClusterBleepBomb";4
"tr03355";"Cluster F-Bomb";349;"ClusterFBomb";202
"tr03356";"Clutching Hand Trap";5;"ClutchingHandTrap";1
"tr03357";"Coat Cape";2;"CoatCape";1
"tr03358";"Coat Full of Contraband";3;"CoatFullOfContraband";1
"tr03359";"Coat, Hat, Mask";6;"CoatHatMask";4
"tr03360";"Coat Over the Shoulder";1;"CoatOverTheShoulder";0
"tr03361";"Coattail-Riding Relative";9;"CoattailRidingRelative";3
"tr03362";"Cobweb Jungle";14;"CobwebJungle";2
"tr03363";"Cobweb of Disuse";10;"CobwebOfDisuse";2
"tr03364";"Coca-Pepsi, Inc.";2;"CocaPepsiInc";0
"tr03365";"Cock-a-Doodle Dawn";2;"CockADoodleDawn";1
"tr03366";"Cock Fight";19;"CockFight";9
"tr03367";"Cockroaches Will Rule the Earth";3;"CockroachesWillRuleTheEarth";1
"tr03368";"Cocky Rooster";1;"CockyRooster";1
"tr03369";"Coconut Meets Cranium";1;"CoconutMeetsCranium";0
"tr03370";"Coconut Superpowers";7;"CoconutSuperpowers";2
"tr03371";"Code Emergency";4;"CodeEmergency";1
"tr03372";"Code Name";28;"CodeName";14
"tr03373";"Code of Honour";4;"CodeOfHonor";2
"tr03374";"Co-Dragons";54;"CoDragons";30
"tr03375";"Coffin Contraband";10;"CoffinContraband";4
"tr03376";"Coincidental Accidental Disguise";10;"CoincidentalAccidentalDisguise";4
"tr03377";"Coincidental Broadcast";56;"CoincidentalBroadcast";21
"tr03378";"Coincidental Dodge";2;"CoincidentalDodge";0
"tr03379";"Coin-on-a-String Trick";1;"CoinOnAStringTrick";0
"tr03380";"Coins for the Dead";4;"CoinsForTheDead";3
"tr03381";"Coitus Ensues";33;"CoitusEnsues";19
"tr03382";"Coitus Uninterruptus";31;"CoitusUninterruptus";16
"tr03383";"Colbert Bump";4;"ColbertBump";3
"tr03384";"Cold-Blooded Torture";150;"ColdbloodedTorture";80
"tr03385";"Cold Cash";1;"ColdCash";1
"tr03386";"Cold Equation";20;"ColdEquation";8
"tr03387";"Cold Ham";24;"ColdHam";8
"tr03388";"Cold Iron";4;"ColdIron";3
"tr03389";"Cold-Name Mole";1;"ColdNameMole";1
"tr03390";"Cold Reading";5;"ColdReading";1
"tr03391";"Cold Sleep, Cold Future";3;"ColdSleepColdFuture";1
"tr03392";"Cold Sniper";59;"ColdSniper";40
"tr03393";"Cold Turkeys Are Everywhere";11;"ColdTurkeysAreEverywhere";6
"tr03394";"Cold War";12;"ColdWar";5
"tr03395";"Collapsed Mid-Speech";5;"CollapsedMidSpeech";0
"tr03396";"Collapsible Helmet";11;"CollapsibleHelmet";9
"tr03397";"Collapsing Lair";56;"CollapsingLair";20
"tr03398";"Collateral Angst";4;"CollateralAngst";0
"tr03399";"Collective Groan";4;"CollectiveGroan";2
"tr03400";"Collective Identity";1;"CollectiveIdentity";0
"tr03401";"Collector of the Strange";17;"CollectorOfTheStrange";12
"tr03402";"College Is High School Part 2";7;"CollegeIsHighSchoolPart2";3
"tr03403";"College Radio";3;"CollegeRadio";3
"tr03404";"College Widow";1;"CollegeWidow";0
"tr03405";"Colliding Criminal Conspiracies";14;"CollidingCriminalConspiracies";3
"tr03406";"Collision Damage";1;"CollisionDamage";1
"tr03407";"Colon Cancer";4;"ColonCancer";3
"tr03408";"Colonel Badass";68;"ColonelBadass";23
"tr03409";"Colonel Bogey March";9;"ColonelBogeyMarch";0
"tr03410";"Colonel Kilgore";15;"ColonelKilgore";4
"tr03411";"Colonized Solar System";2;"ColonizedSolarSystem";0
"tr03412";"Colony Drop";24;"ColonyDrop";14
"tr03413";"Colony Ship";1;"ColonyShip";1
"tr03414";"Colorblind Casting";8;"ColorblindCasting";3
"tr03415";"Color Blind Confusion";6;"ColorBlindConfusion";4
"tr03416";"Color Character";4;"ColorCharacter";2
"tr03417";"Color-Coded Armies";4;"ColorCodedArmies";2
"tr03418";"Color-Coded Characters";60;"ColorCodedCharacters";37
"tr03419";"Color-Coded Elements";2;"ColorCodedElements";0
"tr03420";"Color-Coded Eyes";1;"ColorCodedEyes";1
"tr03421";"Color-Coded Patrician";1;"ColorCodedPatrician";0
"tr03422";"Color-Coded Wizardry";1;"ColorCodedWizardry";1
"tr03423";"Color Contrast";1;"ColorContrast";1
"tr03424";"Color Failure";4;"ColorFailure";3
"tr03425";"Colorful Song";1;"ColorfulSong";0
"tr03426";"Color Me Black";8;"ColorMeBlack";3
"tr03427";"Color Motif";64;"ColorMotif";40
"tr03428";"Color Wash";45;"ColorWash";36
"tr03429";"Colossus Climb";8;"ColossusClimb";8
"tr03430";"Colour-Coded Emotions";3;"ColorCodedEmotions";3
"tr03431";"Colour-Coded for Your Convenience";162;"ColorCodedForYourConvenience";86
"tr03432";"Colourful Theme Naming";2;"ColourfulThemeNaming";0
"tr03433";"Combat Aestheticist";1;"CombatAestheticist";1
"tr03434";"Combat and Support";1;"CombatAndSupport";1
"tr03435";"Combat Breakdown";14;"CombatBreakdown";8
"tr03436";"Combat by Champion";17;"CombatByChampion";5
"tr03437";"Combat Clairvoyance";7;"CombatClairvoyance";6
"tr03438";"Combat Commentator";2;"CombatCommentator";1
"tr03439";"Combat Compliment";5;"CombatCompliment";3
"tr03440";"Combat Haircomb";3;"CombatHaircomb";2
"tr03441";"Combat Hand Fan";6;"CombatHandFan";4
"tr03442";"Combat Medic";10;"CombatMedic";5
"tr03443";"Combat Parkour";20;"CombatParkour";15
"tr03444";"Combat Pragmatist";227;"CombatPragmatist";120
"tr03445";"Combat Referee";1;"CombatReferee";0
"tr03446";"Combat Sadomasochist";6;"CombatSadomasochist";4
"tr03447";"Combat Stilettos";26;"CombatStilettos";21
"tr03448";"Combat Tentacles";27;"CombatTentacles";21
"tr03449";"Combat Uninterruptus";2;"CombatUninterruptus";0
"tr03450";"Combination Attack";5;"CombinationAttack";5
"tr03451";"Combined Energy Attack";7;"CombinedEnergyAttack";5
"tr03452";"Combining Mecha";9;"CombiningMecha";8
"tr03453";"Combo Platter Powers";7;"ComboPlatterPowers";5
"tr03454";"Combos";1;"Combos";1
"tr03455";"Come Alone";9;"ComeAlone";2
"tr03456";"Come Back, My Pet!";1;"ComeBackMyPet";1
"tr03457";"Come Back to Bed, Honey";6;"ComeBackToBedHoney";1
"tr03458";"Comeback Tomorrow";2;"ComebackTomorrow";1
"tr03459";"Comedic Hero";3;"ComedicHero";0
"tr03460";"Comedic Lolicon";2;"ComedicLolicon";0
"tr03461";"Comedic Sociopathy";86;"ComedicSociopathy";40
"tr03462";"Comedic Spanking";6;"ComedicSpanking";2
"tr03463";"Comedic Underwear Exposure";22;"ComedicUnderwearExposure";9
"tr03464";"Comedy";12;"Comedy";5
"tr03465";"Comedy as a Weapon";2;"ComedyAsAWeapon";0
"tr03466";"Comedy Ghetto";2;"ComedyGhetto";1
"tr03467";"Comedy of Remarriage";21;"ComedyOfRemarriage";3
"tr03468";"Comedy Tropes";2;"ComedyTropes";2
"tr03469";"Come Out, Come Out, Wherever You Are";14;"ComeOutComeOutWhereverYouAre";4
"tr03470";"Comes Great Responsibility";35;"ComesGreatResponsibility";24
"tr03471";"Comet of Doom";7;"CometOfDoom";3
"tr03472";"Come to Gawk";8;"ComeToGawk";2
"tr03473";"Come with Me If You Want to Live";20;"ComeWithMeIfYouWantToLive";13
"tr03474";"Comfort Food";13;"ComfortFood";8
"tr03475";"Comforting Comforter";44;"ComfortingComforter";17
"tr03476";"Comforting the Widow";21;"ComfortingTheWidow";10
"tr03477";"Comical Angry Face";4;"ComicalAngryFace";1
"tr03478";"Comically Cross-Eyed";8;"ComicallyCrossEyed";1
